epoch,train_loss,l_sup,l_cont,l_style,val_dice,val_iou,pred_entropy,pred_fg_rate
66,0.803905,0.338935,0.460369,0.009202,0.6222,0.4516,0.1549,0.14007
67,0.802550,0.337526,0.460110,0.009829,0.6222,0.4516,0.1534,0.14077
68,0.794763,0.336225,0.453619,0.009837,0.6222,0.4516,0.1533,0.14004
69,0.790640,0.332234,0.453720,0.009371,0.6222,0.4516,0.1511,0.14087
70,0.773119,0.324168,0.444439,0.009024,0.5891,0.4175,0.1469,0.13947
71,0.778647,0.329480,0.444512,0.009310,0.5891,0.4175,0.1491,0.13864
72,0.777331,0.326145,0.446725,0.008922,0.5891,0.4175,0.1483,0.13954
73,0.775933,0.326523,0.444876,0.009069,0.5891,0.4175,0.1473,0.13918
74,0.768204,0.320918,0.442816,0.008940,0.5891,0.4175,0.1458,0.13970
75,0.749358,0.315383,0.429440,0.009069,0.5849,0.4133,0.1418,0.14012
76,0.754502,0.316233,0.433723,0.009093,0.5849,0.4133,0.1422,0.14031
77,0.757716,0.317751,0.435264,0.009402,0.5849,0.4133,0.1441,0.13999
78,0.750778,0.312973,0.433564,0.008481,0.5849,0.4133,0.1415,0.14049
79,0.749135,0.310361,0.434247,0.009055,0.5849,0.4133,0.1412,0.14106
80,0.740680,0.310254,0.425790,0.009270,0.5977,0.4262,0.1390,0.14052
81,0.736236,0.307506,0.423840,0.009780,0.5977,0.4262,0.1379,0.13947
82,0.727311,0.303591,0.419382,0.008677,0.5977,0.4262,0.1366,0.14074
83,0.726079,0.304550,0.417057,0.008944,0.5977,0.4262,0.1349,0.14069
84,0.728734,0.303221,0.421124,0.008777,0.5977,0.4262,0.1347,0.14108
85,0.726134,0.303058,0.418673,0.008806,0.6254,0.4550,0.1357,0.14094
86,0.723581,0.301019,0.418295,0.008534,0.6254,0.4550,0.1345,0.13998
87,0.708821,0.293224,0.411236,0.008721,0.6254,0.4550,0.1308,0.14090
88,0.712376,0.295805,0.412309,0.008525,0.6254,0.4550,0.1313,0.14117
89,0.701773,0.292801,0.404852,0.008240,0.6254,0.4550,0.1301,0.14112
90,0.698728,0.290921,0.403501,0.008612,0.6265,0.4562,0.1292,0.14038
91,0.699112,0.289421,0.405201,0.008981,0.6265,0.4562,0.1295,0.14174
92,0.689059,0.287082,0.397875,0.008205,0.6265,0.4562,0.1264,0.14131
93,0.689112,0.286248,0.398559,0.008612,0.6265,0.4562,0.1260,0.13980
94,0.680681,0.282842,0.393678,0.008322,0.6265,0.4562,0.1259,0.14149
95,0.683031,0.284624,0.393994,0.008825,0.6174,0.4465,0.1263,0.14098
96,0.675311,0.280974,0.390051,0.008574,0.6174,0.4465,0.1243,0.14186
97,0.663213,0.277077,0.382020,0.008231,0.6174,0.4465,0.1226,0.14114
98,0.664384,0.274699,0.385652,0.008066,0.6174,0.4465,0.1211,0.14212
99,0.660756,0.274052,0.382448,0.008513,0.6174,0.4465,0.1210,0.14148
100,0.664639,0.273578,0.386890,0.008342,0.6359,0.4661,0.1204,0.14204
101,0.661650,0.274053,0.383497,0.008200,0.6359,0.4661,0.1206,0.14171
102,0.655682,0.271353,0.380138,0.008383,0.6359,0.4661,0.1202,0.14205
103,0.655204,0.271152,0.380215,0.007674,0.6359,0.4661,0.1185,0.14173
104,0.645519,0.266399,0.375194,0.007851,0.6359,0.4661,0.1168,0.14138
105,0.650122,0.269465,0.376821,0.007672,0.6099,0.4387,0.1187,0.14208
106,0.646504,0.266438,0.376041,0.008050,0.6099,0.4387,0.1167,0.14119
107,0.644811,0.265282,0.375412,0.008234,0.6099,0.4387,0.1166,0.14291
108,0.635823,0.261897,0.370010,0.007831,0.6099,0.4387,0.1152,0.14248
109,0.630350,0.261743,0.364697,0.007819,0.6099,0.4387,0.1153,0.14316
110,0.630023,0.261067,0.365223,0.007468,0.6422,0.4730,0.1137,0.14190
111,0.634051,0.261551,0.368661,0.007678,0.6422,0.4730,0.1151,0.14159
112,0.625641,0.257149,0.364555,0.007874,0.6422,0.4730,0.1134,0.14251
113,0.628153,0.258445,0.365972,0.007472,0.6422,0.4730,0.1131,0.14246
114,0.624392,0.258338,0.361952,0.008203,0.6422,0.4730,0.1132,0.14289
115,0.618720,0.253880,0.360841,0.007999,0.6229,0.4523,0.1113,0.14250
116,0.621374,0.255160,0.362263,0.007903,0.6229,0.4523,0.1118,0.14275
117,0.611428,0.252796,0.354848,0.007569,0.6229,0.4523,0.1096,0.14196
118,0.612286,0.253022,0.355372,0.007785,0.6229,0.4523,0.1107,0.14223
119,0.613066,0.252039,0.357141,0.007772,0.6229,0.4523,0.1099,0.14269
120,0.606237,0.249328,0.353186,0.007445,0.6166,0.4457,0.1089,0.14392
121,0.609518,0.250605,0.355151,0.007526,0.6166,0.4457,0.1092,0.14289
122,0.600934,0.246601,0.350465,0.007736,0.6166,0.4457,0.1077,0.14275
123,0.603766,0.248276,0.351626,0.007726,0.6166,0.4457,0.1088,0.14301
124,0.600323,0.245735,0.350877,0.007423,0.6166,0.4457,0.1066,0.14183
125,0.597663,0.245390,0.348434,0.007680,0.6181,0.4473,0.1066,0.14242
126,0.600959,0.244836,0.352395,0.007458,0.6181,0.4473,0.1065,0.14190
127,0.591524,0.242889,0.345070,0.007129,0.6181,0.4473,0.1056,0.14372
128,0.588693,0.242292,0.342839,0.007124,0.6181,0.4473,0.1047,0.14324
129,0.593476,0.244721,0.345114,0.007283,0.6181,0.4473,0.1068,0.14285
130,0.594848,0.243269,0.347755,0.007648,0.6238,0.4532,0.1061,0.14319
131,0.601253,0.245492,0.352074,0.007375,0.6238,0.4532,0.1072,0.14317
132,0.583987,0.240967,0.339253,0.007534,0.6238,0.4532,0.1046,0.14357
133,0.590917,0.243137,0.344084,0.007391,0.6238,0.4532,0.1052,0.14373
134,0.583953,0.240015,0.340271,0.007333,0.6238,0.4532,0.1047,0.14329
135,0.592163,0.243416,0.345079,0.007334,0.6256,0.4552,0.1053,0.14291
136,0.583666,0.240597,0.339402,0.007336,0.6256,0.4552,0.1043,0.14331
137,0.579379,0.237588,0.338312,0.006958,0.6256,0.4552,0.1031,0.14254
138,0.581692,0.238829,0.339339,0.007047,0.6256,0.4552,0.1038,0.14300
139,0.584229,0.238746,0.341837,0.007292,0.6256,0.4552,0.1031,0.14304
140,0.578453,0.236676,0.338208,0.007136,0.6182,0.4474,0.1032,0.14271
141,0.585719,0.240062,0.342000,0.007316,0.6182,0.4474,0.1042,0.14238
142,0.583273,0.237955,0.341651,0.007334,0.6182,0.4474,0.1038,0.14304
143,0.584039,0.239007,0.341445,0.007175,0.6182,0.4474,0.1038,0.14309
144,0.583707,0.239333,0.340709,0.007329,0.6182,0.4474,0.1039,0.14285
145,0.582250,0.238078,0.340605,0.007135,0.6212,0.4506,0.1031,0.14241
146,0.584831,0.239615,0.341558,0.007315,0.6212,0.4506,0.1038,0.14309
147,0.583004,0.239010,0.340139,0.007710,0.6212,0.4506,0.1038,0.14301
148,0.577798,0.237738,0.336494,0.007130,0.6212,0.4506,0.1034,0.14334
149,0.577252,0.236527,0.337010,0.007431,0.6212,0.4506,0.1030,0.14363
150,0.572642,0.236481,0.332613,0.007096,0.6322,0.4622,0.1026,0.14309
